Komponente,Grˆﬂe,Einheit,2020,2025,2030,2035,2040,2045,2050
Wind Offshore,Investition,EUR/kWel,3512,3210,2937,2697,2493,2337,2251
Wind Offshore,Lebensdauer,a,20,20,20,20,20,20,20
Wind Offshore,Potenzial,GW,0.66,0.66,2.77,2.77,2.77,2.77,2.77
Wind Offshore,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Wind Onshore,Investition,EUR/kWel,1493,1411,1366,1345,1337,1335,1335
Wind Onshore,Lebensdauer,a,24,24,25,25,25,26,26
Wind Onshore,Potenzial,GW,5.52,5.52,5.52,5.52,5.52,5.52,5.52
Wind Onshore,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Photovoltaik Dach S¸d,Investition,EUR/kWel,976,828,718,643,597,576,571
Photovoltaik Dach S¸d,Lebensdauer,a,26,26,27,27,28,28,29
Photovoltaik Dach S¸d,Potenzial,GW,1.90,4.00,6.50,6.50,6.50,6.50,6.50
Photovoltaik Dach S¸d,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Photovoltaik Dach Ost-West,Investition,EUR/kWel,976,828,718,643,597,576,571
Photovoltaik Dach Ost-West,Lebensdauer,a,26,26,27,27,28,28,29
Photovoltaik Dach Ost-West,Potenzial,GW,2.30,4.50,6.50,6.50,6.50,6.50,6.50
Photovoltaik Dach Ost-West,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Photovoltaik Freifl‰che S¸d,Investition,EUR/kWel,648,600,550,505,463,425,390
Photovoltaik Freifl‰che S¸d,Lebensdauer,a,26,26,27,27,28,28,29
Photovoltaik Freifl‰che S¸d,Potenzial,GW,1.00,3.40,4.35,4.35,5.35,5.35,5.35
Photovoltaik Freifl‰che S¸d,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GuD-Kraftwerke,Investition,EUR/kWel,700,700,700,700,700,700,700
GuD-Kraftwerke,Lebensdauer,a,40,40,40,40,40,40,40
GuD-Kraftwerke,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
GuD-Kraftwerke,Wirkungsgrad,%,56.0,57.0,59.0,60.0,61.0,62.0,63.0
Gasturbine,Investition,EUR/kWel,385,385,385,385,385,385,385
Gasturbine,Lebensdauer,a,40,40,40,40,40,40,40
Gasturbine,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gasturbine,Wirkungsgrad,%,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Braunkohle- kraftwerk,Investition,EUR/kWel,1700,1700,1700,1700,1700,1700,1700
Braunkohle- kraftwerk,Lebensdauer,a,45,45,45,45,45,45,45
Braunkohle- kraftwerk,M/O-Kosten,% Invest,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Braunkohle- kraftwerk,Wirkungsgrad,%,37.0,38.0,39.0,40.0,41.0,42.0,42.0
Steinkohle- kraftwerk,Investition,EUR/kWel,1500,1500,1500,1500,1500,1500,1500
Steinkohle- kraftwerk,Lebensdauer,a,45,45,45,45,45,45,45
Steinkohle- kraftwerk,M/O-Kosten,% Invest,1.6,1.6,1.6,1.6,1.6,1.6,1.6
Steinkohle- kraftwerk,Wirkungsgrad,%,41.0,42.0,42.0,42.0,42.0,42.0,42.0
H2-R¸ckver- stromung (Gasturbine),Investition,EUR/kWel,500,451,419,399,389,386,385
H2-R¸ckver- stromung (Gasturbine),Lebensdauer,a,40,40,40,40,40,40,40
H2-R¸ckver- stromung (Gasturbine),M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
H2-R¸ckver- stromung (Gasturbine),Wirkungsgrad,%,40.0,40.0,40.0,40.0,40.0,40.0,40.0
W‰rmenetze,Investition,EUR/kWth,400,400,400,400,400,400,400
W‰rmenetze,Lebensdauer,a,40,40,40,40,40,40,40
W‰rmenetze,M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gasnetz,Investition,EUR/kWGas,28,28,28,28,28,28,28
Gasnetz,Lebensdauer,a,30,30,30,30,30,30,30
Gasnetz,M/O-Kosten,% Invest,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Anbindung - Offshore Seekabel,Investition,EUR/kWWind_off,430,430,430,430,430,430,430
Anbindung - Offshore Seekabel,Lebensdauer,a,40,40,40,40,40,40,40
Anbindung - Offshore Seekabel,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
HG‹ (Nord-S¸d- Anbindung),Investition,EUR/kWWind_off,200,200,200,200,200,200,200
HG‹ (Nord-S¸d- Anbindung),Lebensdauer,a,40,40,40,40,40,40,40
HG‹ (Nord-S¸d- Anbindung),M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mittelspannung (Onshore Ausbau),Investition,EUR/kWWind_on,180,180,180,180,180,180,180
Mittelspannung (Onshore Ausbau),Lebensdauer,a,40,40,40,40,40,40,40
Mittelspannung (Onshore Ausbau),M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Verteilnetz (PV- Ausbau),Investition,EUR/kWPV,140,140,140,140,140,140,140
Verteilnetz (PV- Ausbau),Lebensdauer,a,40,40,40,40,40,40,40
Verteilnetz (PV- Ausbau),M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Elektrolyse (MIX PEM/AEL/HTEL),Investition,EUR/kWel,738,676,613,584,554,525,495
Elektrolyse (MIX PEM/AEL/HTEL),Lebensdauer,a,26,26,25,26,28,29,30
Elektrolyse (MIX PEM/AEL/HTEL),M/O-Kosten,% Invest,3.5,3.4,3.3,3.5,3.6,3.8,3.9
Elektrolyse (MIX PEM/AEL/HTEL),Wirkungsgrad,%,64.5,64.8,65.1,66.4,67.6,68.9,70.2
Station‰re Batterien,Investition,EUR/kWhel,400,275,150,138,125,113,100
Station‰re Batterien,Lebensdauer,a,10,10,15,15,15,15,15
Station‰re Batterien,M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Station‰re Batterien,Wirkungsgrad,%,85.8,86.5,87.2,87.8,88.5,89.2,90.0
Wasserstoffspeicher & -verdichter,Investition,EUR/kWH2,163,163,163,163,163,163,163
Wasserstoffspeicher & -verdichter,Lebensdauer,a,30,30,30,30,30,30,30
Wasserstoffspeicher & -verdichter,M/O-Kosten,% Invest,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Wasserstoffspeicher & -verdichter,Wirkungsgrad,%,95.0,95.0,95.0,95.0,95.0,95.0,95.0
Wasserstoffspeicher & -verdichter,Lebensdauer,a,21,23,24,26,27,29,30
Wasserstoffspeicher & -verdichter,M/O-Kosten,% Invest,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wasserstoffspeicher & -verdichter,Wirkungsgrad,%,57.1,59.3,61.5,61.5,61.5,61.5,61.5
Wasserstoffspeicher & -verdichter,Wirkungsgrad,%,74.3,74.3,74.3,74.3,74.3,74.3,74.3
Wasserstoffspeicher & -verdichter,Lebensdauer,a,15,15,15,15,15,15,15
Wasserstoffspeicher & -verdichter,M/O-Kosten,% Invest,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Wasserstoffspeicher & -verdichter,Wirkungsgrad,%,69.4,69.4,69.4,69.4,69.4,69.4,69.4
Wasserstoffspeicher & -verdichter,Lebensdauer,a,21,23,24,26,27,29,30
Wasserstoffspeicher & -verdichter,M/O-Kosten,% Invest,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Wasserstoffspeicher & -verdichter,Wirkungsgrad,%,43.3,44.9,46.6,46.6,46.6,46.6,46.6
W‰rmenetze: Geothermie-Direktw‰rme,Investition,EUR/kWth,3775,3584,3392,3221,3049,2895,2740
W‰rmenetze: Geothermie-Direktw‰rme,Lebensdauer,a,30,30,35,35,40,40,50
"(Tiefe>1000m, keine",M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
W‰rmenetze: GuD mit W‰rmeauskopplung > 10,Investition,EUR/kWel,791,768,753,743,738,737,736
W‰rmenetze: GuD mit W‰rmeauskopplung > 10,Lebensdauer,a,30,30,30,30,30,30,30
MW,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
MW,Wirkungsgrad el.,%,56.0,58.0,59.0,60.0,61.0,62.0,63.0
MW,Wirkungsgrad th.,%,30.0,30.0,30.0,30.0,30.0,30.0,30.0
W‰rmenetze: (Groﬂ-) W‰rmepumpen (Wasser-,Investition,EUR/kWth,400,375,350,325,300,275,250
W‰rmenetze: (Groﬂ-) W‰rmepumpen (Wasser-,Lebensdauer,a,25,25,25,25,25,25,25
Wasser),M/O-Kosten,% Invest,1.3,1.3,1.3,1.3,1.3,1.3,1.3
W‰rmenetze: Solarthermie,Investition,EUR/m2,290,260,230,215,200,195,190
W‰rmenetze: Solarthermie,Lebensdauer,a,30,30,30,30,30,30,30
(Freifl‰chenanlagen),M/O-Kosten,% Invest,1.2,1.2,1.2,1.2,1.2,1.2,1.2
W‰rmenetze: W‰rmespeicher (Wasser,Investition,EUR/m3,139,129,119,110,100,90,80
W‰rmenetze: W‰rmespeicher (Wasser,Lebensdauer,a,40,40,40,40,40,40,40
ca. 50 m3),M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gaskessel,Investition,EUR/kWth,97,97,97,97,97,97,97
Gaskessel,Lebensdauer,a,20,20,20,20,20,20,20
Gaskessel,M/O-Kosten,% Invest,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Gaskessel,Wirkungsgrad NT,%,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Gaskessel,Wirkungsgrad HT,%,93.0,93.0,93.0,93.0,93.0,93.0,93.0
Biomassekessel/Holzkessel,Investition,EUR/kWth,251,243,236,228,221,214,206
Biomassekessel/Holzkessel,Lebensdauer,a,20,20,20,20,20,20,20
Biomassekessel/Holzkessel,M/O-Kosten,% Invest,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Biomassekessel/Holzkessel,Wirkungsgrad NT,%,93.0,93.0,93.0,93.0,93.0,93.0,93.0
Biomassekessel/Holzkessel,Wirkungsgrad HT,%,88.0,88.0,88.0,88.0,88.0,88.0,88.0
Gasw‰rmepumpe HT/NT,Investition,EUR/kWth,1100,1100,1100,1000,1000,900,900
Gasw‰rmepumpe HT/NT,Lebensdauer,a,20,20,20,20,20,20,20
Gasw‰rmepumpe HT/NT,M/O-Kosten,% Invest,5.0,5.0,5.0,5.0,4.0,4.0,4.0
Elektrische W‰rmepumpe (W‰rmequelle: Erdreich) NT,Investition,EUR/kWth,1656,1574,1493,1409,1325,1244,1162
Elektrische W‰rmepumpe (W‰rmequelle: Erdreich) NT,Lebensdauer,a,20,20,20,20,20,20,20
Elektrische W‰rmepumpe (W‰rmequelle: Erdreich) NT,M/O-Kosten,% Invest,1.3,1.1,1.0,1.0,1.0,1.0,1.0
Elektrische W‰rmepumpe (W‰rmequelle: Auﬂenluft) NT,Investition,EUR/kWth,900,857,815,770,725,683,640
Elektrische W‰rmepumpe (W‰rmequelle: Auﬂenluft) NT,Lebensdauer,a,20,20,20,20,20,20,20
Elektrische W‰rmepumpe (W‰rmequelle: Auﬂenluft) NT,M/O-Kosten,% Invest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Hybride W‰rmepumpe (el. WP und Gaskessel, Auﬂenluft) NT",Investition,EUR/kWth,997,954,912,867,822,780,737
"Hybride W‰rmepumpe (el. WP und Gaskessel, Auﬂenluft) NT",Lebensdauer,a,20,20,20,20,20,20,20
"Hybride W‰rmepumpe (el. WP und Gaskessel, Auﬂenluft) NT",M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BHKW Einzelgeb‰ude <100 kWel NT/HT,Investition,EUR/kWel,1614,1534,1480,1448,1431,1425,1424
BHKW Einzelgeb‰ude <100 kWel NT/HT,Lebensdauer,a,20,20,20,20,20,20,20
BHKW Einzelgeb‰ude <100 kWel NT/HT,M/O-Kosten,% Invest,3.0,3.0,3.0,3.0,3.0,3.0,3.0
BHKW Einzelgeb‰ude <100 kWel NT/HT,Wirkungsgrad el.,%,36.0,36.0,36.0,36.0,36.0,36.0,36.0
BHKW Einzelgeb‰ude <100 kWel NT/HT,Wirkungsgrad th.,%,44.0,44.0,44.0,44.0,44.0,44.0,44.0
H2-Brennstoffzelle f¸r Strom&W‰rme im Einzelgeb‰ude <100 kWel,Investition,EUR/kWel,8285,3903,2072,1455,1308,1289,1289
H2-Brennstoffzelle f¸r Strom&W‰rme im Einzelgeb‰ude <100 kWel,Lebensdauer,a,15,20,20,20,20,20,20
H2-Brennstoffzelle f¸r Strom&W‰rme im Einzelgeb‰ude <100 kWel,M/O-Kosten,% Invest,3.6,3.4,3.3,3.3,3.3,3.3,3.3
NT,Wirkungsgrad el.,%,62.9,63.4,63.9,64.4,64.9,65.4,65.9
NT,Wirkungsgrad th.,%,27.9,28.1,28.3,28.5,28.7,28.9,29.1
CH4-Brennstoffzelle NT,Investition,EUR/kWel,9113,4293,2280,1600,1438,1418,1418
CH4-Brennstoffzelle NT,Lebensdauer,a,15,20,20,20,20,20,20
