technology,parameter,year,value,unit,currency_year,financial_case,scenario,source,further description
biomass,discount rate,2020,0.0320752195121951,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
biomass,discount rate,2020,0.0320752195121951,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
CCGT,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame),discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 95% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
NG 2-on-1 Combined Cycle (F-Frame) 97% CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
coal,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-95%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-99%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,Market,Conservative,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,Market,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Advanced,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Conservative,"NREL, NREL ATB 2022",
Coal-IGCC,discount rate,2020,0.0394356097560977,per unit,2018,R&D,Moderate,"NREL, NREL ATB 2022",
Coal-IGCC-90%-CCS,discount rate,2020,0.0394356097560977,per unit,2018,Market,Advanced,"NREL, NREL ATB 2022",
